,station,latitude,longitude,elevation,depth
9020,KFRC,42.2241712,-121.783880581,1240.1883528,79.40012910265602
9090,KITT,40.062566081,-117.912274226,1655.5833745,100.0
9117,KLO2,49.875609068,-119.457819097,347.987765,100.0
9118,KLO3,49.877385185,-119.457636799,347.2513827,100.0
9127,KLSP,48.345611807,-117.272450675,619.9799667,100.0
9129,KLTS,46.643207018,-118.55816922,257.2406137,100.0
9133,KLWA,49.869344557,-119.580812074,473.4275573,100.0
9134,KLWN,49.869628834,-119.581143491,474.0109833,100.0
9140,KMLP,50.673104144,-120.378745387,538.7855631,100.0
9163,KNTP,47.425111059,-122.257608332,-6.5173087,52.12291551454891
9201,KOOT,47.770749067,-116.809641251,685.7910207,100.0
9268,KRMT,47.802875803,-122.320989919,84.2874875,51.526130112894876
9361,KTBW,47.547319611,-122.795417868,491.5606104,41.53897755673198
9400,KUMI,40.443546538,-118.969851091,1370.7127442,100.0
9425,KWBU,43.752384377,-121.312003985,1762.5611213,87.93630095469851
9458,KYLE,40.401448394,-117.854780085,1529.0687728,100.0
9528,LACE,39.457513386,-120.441668719,2149.6787741,100.0
9533,LACR,40.850804719,-115.703739303,1653.7662962,100.0
9572,LAKE,39.936128053,-119.375315082,1186.9449913,100.0
9607,LAN2,49.10048596,-122.685033446,-1.1053088,67.96388322541361
9633,LAPL,39.394144891,-118.304448393,1473.2077059,100.0
9634,LAPN,43.664601123,-121.506004581,1278.9357122,83.29227997054815
9734,LCR1,46.819577754,-117.878609091,441.1492089,100.0
9739,LCSO,44.634351391,-123.106665383,59.0922473,44.187928961900425
9806,LEMO,39.580884187,-120.307748437,1646.0681381,100.0
9842,LEWI,40.403513001,-116.861873,2916.7115538,100.0
9855,LFLO,43.983605611,-124.107708584,-6.4002737,22.644911229346533
9915,LIKE,41.227790448,-120.443222134,1404.6028936,100.0
9931,LINH,47.000335439,-120.538501496,472.2519826,100.0
9933,LINL,44.178587624,-121.902665683,1213.4404022,71.70698966257247
9963,LKCP,47.944379629,-121.830852755,178.2649999,64.7960133091648
9969,LKN1,40.859933196,-115.742270633,1582.1100153,100.0
9973,LKVW,42.172096338,-120.346681605,1433.0156287,100.0
10004,LMID,46.369382382,-120.284671775,211.7207522,100.0
10011,LMRR,39.538543859,-119.813115687,1373.699751,100.0
10024,LNG2,49.05805036,-122.703289922,36.0621382,66.01145155887247
10027,LNGB,47.21878571,-122.758315504,2.4359448,42.53486205868782
10032,LNGV,41.78518173,-119.752362653,1735.9888135,100.0
10038,LNRD,41.47663324,-118.710092369,1275.6479188,100.0
10074,LONC,40.660741871,-120.615201538,2052.1530817,100.0
10091,LOST,41.073913304,-119.773828388,1642.1761105,100.0
10159,LPSB,44.051228557,-123.090085508,117.7010683,45.63193477465845
10206,LSIG,47.695201067,-121.689564813,527.1995496,71.38811586896648
10212,LSON,45.359532538,-121.647227934,1999.4342887,74.38678374220582
10224,LTAH,47.282428327,-117.163884858,735.6149377,100.0
10265,LUNC,39.629131216,-120.500750602,2143.8492353,100.0
10276,LUXO,40.514513771,-119.232261326,1538.6502809,100.0
10281,LVIL,41.070435898,-119.377573624,1593.2957606,100.0
10290,LWCK,46.278132944,-124.053846231,39.0512337,24.278889878986536
10294,LWST,46.373178411,-117.002307098,427.2210043,100.0
10297,LYAL,39.668992344,-120.185016728,1658.4556282,100.0
10353,MADE,41.035151012,-120.435622463,1702.0268045,100.0
10391,MAJU,40.707021074,-118.436630256,1426.1577641,100.0
10486,MASC,41.605081319,-119.547984272,1749.163453,100.0
10490,MASO,39.074190511,-119.163214685,1354.597883,100.0
10528,MAX1,39.273877364,-122.190531961,3.917101,100.0
10586,MCKI,40.208513619,-117.783771481,1590.700788,100.0
10603,MCOY,40.117907781,-117.590023728,1184.0645684,100.0
10607,MCSO,44.973810697,-122.955749152,52.7953414,46.00693662704046
10640,MDMT,42.418341659,-121.221599383,1710.5802488,92.78314766636495
10652,MDRS,44.664029861,-121.130418998,735.9183767,91.11953206877453
10676,MECR,44.085250254,-121.825167155,1812.6422839,73.78586018341652
10801,MGRB,48.999694529,-124.697079759,1289.2583736,36.05375686806036
10816,MHMB,39.148348802,-121.592310472,-5.3085517,97.59812158825994
10819,MHTL,45.328669217,-121.711161852,1750.3161953,72.72421501900975
10913,MILL,40.651759938,-118.063933764,1315.6656986,100.0
10941,MINE,40.148366001,-116.095512,2075.6419642,100.0
10973,MIS1,49.159235022,-122.287611992,132.5494062,82.30422356195886
